dt,volume
2022-02-11 09:10:00,24538
2022-02-11 09:15:00,17577
2022-02-11 09:20:00,25212
2022-02-11 09:25:00,24232
2022-02-11 09:30:00,20008
2022-02-11 09:35:00,17668
2022-02-11 09:40:00,16539
2022-02-11 09:45:00,12500
2022-02-11 09:50:00,19217
2022-02-11 09:55:00,19445
2022-02-11 10:00:00,19216
2022-02-11 10:05:00,33139
2022-02-11 10:10:00,15529
2022-02-11 10:15:00,8470
2022-02-11 10:35:00,11237
2022-02-11 10:40:00,6136
2022-02-11 10:45:00,6015
2022-02-11 10:50:00,4950
2022-02-11 10:55:00,6000
2022-02-11 11:00:00,5661
2022-02-11 11:05:00,11635
2022-02-11 11:10:00,15688
2022-02-11 11:15:00,30770
2022-02-11 11:20:00,30836
2022-02-11 11:25:00,24341
2022-02-11 11:30:00,22793
2022-02-11 13:35:00,34677
2022-02-11 13:40:00,37098
2022-02-11 13:45:00,22802
2022-02-11 13:50:00,27068
2022-02-11 13:55:00,17303
2022-02-11 14:00:00,11269
2022-02-11 14:05:00,7681
2022-02-11 14:10:00,18485
2022-02-11 14:15:00,12079
2022-02-11 14:20:00,16064
2022-02-11 14:25:00,10819
2022-02-11 14:30:00,30320
2022-02-11 14:35:00,10543
2022-02-11 14:40:00,12804
2022-02-11 14:45:00,22342
2022-02-11 14:50:00,28918
2022-02-11 14:55:00,28576
2022-02-11 15:00:00,100071
2022-02-11 21:05:00,124585
2022-02-11 21:10:00,61180
2022-02-11 21:15:00,38791
2022-02-11 21:20:00,23877
2022-02-11 21:25:00,19254
2022-02-11 21:30:00,30797
2022-02-11 21:35:00,41576
2022-02-11 21:40:00,25275
2022-02-11 21:45:00,28340
2022-02-11 21:50:00,17086
2022-02-11 21:55:00,74926
2022-02-11 22:00:00,37924
2022-02-11 22:05:00,36206
2022-02-11 22:10:00,36423
2022-02-11 22:15:00,30190
2022-02-11 22:20:00,13932
2022-02-11 22:25:00,15645
2022-02-11 22:30:00,10226
2022-02-11 22:35:00,17825
2022-02-11 22:40:00,32963
2022-02-11 22:45:00,20739
2022-02-11 22:50:00,14464
2022-02-11 22:55:00,50151
2022-02-11 23:00:00,44352
2022-02-14 09:05:00,104028
2022-02-14 09:10:00,43082
2022-02-14 09:15:00,23552
2022-02-14 09:20:00,27708
2022-02-14 09:25:00,13639
2022-02-14 09:30:00,10261
2022-02-14 09:35:00,9645
2022-02-14 09:40:00,9678
2022-02-14 09:45:00,6551
2022-02-14 09:50:00,14575
2022-02-14 09:55:00,21606
2022-02-14 10:00:00,14769
2022-02-14 10:05:00,12156
2022-02-14 10:10:00,14224
2022-02-14 10:15:00,16634
2022-02-14 10:35:00,33990
2022-02-14 10:40:00,8912
2022-02-14 10:45:00,8438
2022-02-14 10:50:00,6891
2022-02-14 10:55:00,6627
2022-02-14 11:00:00,7897
2022-02-14 11:05:00,8879
